district,candidate,party,votes
1,RUE LANDAU,Democratic,24982
1,KATHERINE GILMORE RICHARDSON,Democratic,23473
1,ISAIAH THOMAS,Democratic,23132
1,NINA AHMAD,Democratic,21651
1,JIM HARRITY,Democratic,17754
1,DREW MURRAY,Republican,9112
1,JIM HASHER,Republican,8602
1,KENDRA BROOKS,Working Families,14209
1,NICOLAS O'ROURKE,Working Families,12681
1,WRITE-IN,Write-in/Other,210
2,ISAIAH THOMAS,Democratic,23801
2,KATHERINE GILMORE RICHARDSON,Democratic,23347
2,NINA AHMAD,Democratic,22441
2,RUE LANDAU,Democratic,22411
2,JIM HARRITY,Democratic,18439
2,DREW MURRAY,Republican,7057
2,JIM HASHER,Republican,6499
2,KENDRA BROOKS,Working Families,10701
2,NICOLAS O'ROURKE,Working Families,8947
2,WRITE-IN,Write-in/Other,150
3,ISAIAH THOMAS,Democratic,21303
3,KATHERINE GILMORE RICHARDSON,Democratic,19549
3,NINA AHMAD,Democratic,18461
3,RUE LANDAU,Democratic,18394
3,JIM HARRITY,Democratic,13863
3,DREW MURRAY,Republican,1517
3,JIM HASHER,Republican,1359
3,KENDRA BROOKS,Working Families,11557
3,NICOLAS O'ROURKE,Working Families,9946
3,WRITE-IN,Write-in/Other,167
4,ISAIAH THOMAS,Democratic,26435
4,KATHERINE GILMORE RICHARDSON,Democratic,25463
4,NINA AHMAD,Democratic,25034
4,RUE LANDAU,Democratic,22499
4,JIM HARRITY,Democratic,20445
4,DREW MURRAY,Republican,5478
4,JIM HASHER,Republican,5038
4,KENDRA BROOKS,Working Families,10167
4,NICOLAS O'ROURKE,Working Families,8149
4,WRITE-IN,Write-in/Other,183
5,ISAIAH THOMAS,Democratic,23082
5,KATHERINE GILMORE RICHARDSON,Democratic,22229
5,NINA AHMAD,Democratic,21457
5,RUE LANDAU,Democratic,21447
5,JIM HARRITY,Democratic,17076
5,DREW MURRAY,Republican,4303
5,JIM HASHER,Republican,3520
5,KENDRA BROOKS,Working Families,9217
5,NICOLAS O'ROURKE,Working Families,7495
5,WRITE-IN,Write-in/Other,158
6,JIM HARRITY,Democratic,9550
6,KATHERINE GILMORE RICHARDSON,Democratic,8955
6,NINA AHMAD,Democratic,8418
6,ISAIAH THOMAS,Democratic,8377
6,RUE LANDAU,Democratic,7552
6,JIM HASHER,Republican,11479
6,DREW MURRAY,Republican,9854
6,KENDRA BROOKS,Working Families,2439
6,NICOLAS O'ROURKE,Working Families,2310
6,WRITE-IN,Write-in/Other,165
7,ISAIAH THOMAS,Democratic,9510
7,KATHERINE GILMORE RICHARDSON,Democratic,9041
7,NINA AHMAD,Democratic,9011
7,RUE LANDAU,Democratic,8151
7,JIM HARRITY,Democratic,7988
7,DREW MURRAY,Republican,2445
7,JIM HASHER,Republican,2392
7,KENDRA BROOKS,Working Families,2869
7,NICOLAS O'ROURKE,Working Families,2282
7,WRITE-IN,Write-in/Other,109
8,ISAIAH THOMAS,Democratic,27906
8,NINA AHMAD,Democratic,25378
8,KATHERINE GILMORE RICHARDSON,Democratic,25312
8,RUE LANDAU,Democratic,22602
8,JIM HARRITY,Democratic,18387
8,DREW MURRAY,Republican,2692
8,JIM HASHER,Republican,2221
8,KENDRA BROOKS,Working Families,13322
8,NICOLAS O'ROURKE,Working Families,10885
8,WRITE-IN,Write-in/Other,160
9,ISAIAH THOMAS,Democratic,23534
9,NINA AHMAD,Democratic,21766
9,KATHERINE GILMORE RICHARDSON,Democratic,21080
9,RUE LANDAU,Democratic,18182
9,JIM HARRITY,Democratic,18152
9,DREW MURRAY,Republican,2850
9,JIM HASHER,Republican,2761
9,KENDRA BROOKS,Working Families,6042
9,NICOLAS O'ROURKE,Working Families,4405
9,WRITE-IN,Write-in/Other,111
10,JIM HARRITY,Democratic,12185
10,KATHERINE GILMORE RICHARDSON,Democratic,11468
10,NINA AHMAD,Democratic,10715
10,ISAIAH THOMAS,Democratic,10562
10,RUE LANDAU,Democratic,9756
10,JIM HASHER,Republican,16403
10,DREW MURRAY,Republican,14969
10,KENDRA BROOKS,Working Families,3093
10,NICOLAS O'ROURKE,Working Families,2962
10,WRITE-IN,Write-in/Other,209
