division,candidate,party,votes
01-01,DREW MURRAY,REP,51
01-01,ISAIAH THOMAS,DEM,120
01-01,JIM HARRITY,DEM,66
01-01,JIM HASHER,REP,46
01-01,KATHERINE GILMORE RICHARDSON,DEM,104
01-01,KENDRA BROOKS,WFP,140
01-01,NICOLAS O'ROURKE,WFP,131
01-01,NINA AHMAD,DEM,105
01-01,RUE LANDAU,DEM,122
01-01,WRITE-IN,,1
01-02,DREW MURRAY,REP,38
01-02,ISAIAH THOMAS,DEM,185
01-02,JIM HARRITY,DEM,99
01-02,JIM HASHER,REP,35
01-02,KATHERINE GILMORE RICHARDSON,DEM,175
01-02,KENDRA BROOKS,WFP,168
01-02,NICOLAS O'ROURKE,WFP,159
01-02,NINA AHMAD,DEM,141
01-02,RUE LANDAU,DEM,196
01-02,WRITE-IN,,0
01-03,DREW MURRAY,REP,78
01-03,ISAIAH THOMAS,DEM,183
01-03,JIM HARRITY,DEM,115
01-03,JIM HASHER,REP,73
01-03,KATHERINE GILMORE RICHARDSON,DEM,184
01-03,KENDRA BROOKS,WFP,203
01-03,NICOLAS O'ROURKE,WFP,190
01-03,NINA AHMAD,DEM,178
01-03,RUE LANDAU,DEM,218
01-03,WRITE-IN,,3
01-04,DREW MURRAY,REP,60
01-04,ISAIAH THOMAS,DEM,153
01-04,JIM HARRITY,DEM,85
01-04,JIM HASHER,REP,57
01-04,KATHERINE GILMORE RICHARDSON,DEM,144
01-04,KENDRA BROOKS,WFP,134
01-04,NICOLAS O'ROURKE,WFP,124
01-04,NINA AHMAD,DEM,138
01-04,RUE LANDAU,DEM,170
01-04,WRITE-IN,,4
01-05,DREW MURRAY,REP,16
01-05,ISAIAH THOMAS,DEM,78
01-05,JIM HARRITY,DEM,53
01-05,JIM HASHER,REP,14
01-05,KATHERINE GILMORE RICHARDSON,DEM,85
01-05,KENDRA BROOKS,WFP,76
01-05,NICOLAS O'ROURKE,WFP,69
01-05,NINA AHMAD,DEM,66
01-05,RUE LANDAU,DEM,95
01-05,WRITE-IN,,0
01-06,DREW MURRAY,REP,25
01-06,ISAIAH THOMAS,DEM,106
01-06,JIM HARRITY,DEM,75
01-06,JIM HASHER,REP,24
01-06,KATHERINE GILMORE RICHARDSON,DEM,101
01-06,KENDRA BROOKS,WFP,100
01-06,NICOLAS O'ROURKE,WFP,88
01-06,NINA AHMAD,DEM,97
01-06,RUE LANDAU,DEM,118
01-06,WRITE-IN,,2
01-07,DREW MURRAY,REP,16
01-07,ISAIAH THOMAS,DEM,112
01-07,JIM HARRITY,DEM,60
01-07,JIM HASHER,REP,17
01-07,KATHERINE GILMORE RICHARDSON,DEM,100
01-07,KENDRA BROOKS,WFP,82
01-07,NICOLAS O'ROURKE,WFP,72
01-07,NINA AHMAD,DEM,91
01-07,RUE LANDAU,DEM,109
01-07,WRITE-IN,,3
01-08,DREW MURRAY,REP,30
01-08,ISAIAH THOMAS,DEM,124
01-08,JIM HARRITY,DEM,67
01-08,JIM HASHER,REP,33
01-08,KATHERINE GILMORE RICHARDSON,DEM,138
01-08,KENDRA BROOKS,WFP,122
01-08,NICOLAS O'ROURKE,WFP,109
01-08,NINA AHMAD,DEM,110
01-08,RUE LANDAU,DEM,131
01-08,WRITE-IN,,1
01-09,DREW MURRAY,REP,43
01-09,ISAIAH THOMAS,DEM,124
01-09,JIM HARRITY,DEM,83
01-09,JIM HASHER,REP,43
01-09,KATHERINE GILMORE RICHARDSON,DEM,129
01-09,KENDRA BROOKS,WFP,107
01-09,NICOLAS O'ROURKE,WFP,98
01-09,NINA AHMAD,DEM,119
01-09,RUE LANDAU,DEM,140
01-09,WRITE-IN,,0
01-10,DREW MURRAY,REP,30
01-10,ISAIAH THOMAS,DEM,156
01-10,JIM HARRITY,DEM,99
01-10,JIM HASHER,REP,29
01-10,KATHERINE GILMORE RICHARDSON,DEM,162
01-10,KENDRA BROOKS,WFP,142
01-10,NICOLAS O'ROURKE,WFP,135
01-10,NINA AHMAD,DEM,141
01-10,RUE LANDAU,DEM,177
01-10,WRITE-IN,,1
01-11,DREW MURRAY,REP,66
01-11,ISAIAH THOMAS,DEM,205
01-11,JIM HARRITY,DEM,120
01-11,JIM HASHER,REP,59
01-11,KATHERINE GILMORE RICHARDSON,DEM,218
01-11,KENDRA BROOKS,WFP,187
01-11,NICOLAS O'ROURKE,WFP,162
01-11,NINA AHMAD,DEM,191
01-11,RUE LANDAU,DEM,240
01-11,WRITE-IN,,0
01-12,DREW MURRAY,REP,24
01-12,ISAIAH THOMAS,DEM,85
01-12,JIM HARRITY,DEM,44
01-12,JIM HASHER,REP,22
01-12,KATHERINE GILMORE RICHARDSON,DEM,88
01-12,KENDRA BROOKS,WFP,89
01-12,NICOLAS O'ROURKE,WFP,79
