division,council,p7,p5
01-01,1,3,3
01-02,1,3,3
01-03,1,3,3
01-04,1,3,3
01-05,1,3,3
01-06,1,3,3
01-07,1,3,3
01-08,1,3,3
01-09,1,3,3
01-10,1,3,3
01-11,1,3,3
01-12,1,3,3
01-13,1,3,3
01-14,1,3,3
01-15,1,3,3
01-16,1,3,3
01-17,1,3,3
01-18,1,3,3
01-19,1,3,3
01-20,1,3,3
01-21,1,3,3
02-01,1,3,3
02-02,1,3,3
02-03,1,3,3
02-04,1,3,3
02-05,1,3,3
02-06,1,3,3
02-07,1,3,3
02-08,1,3,3
02-09,2,3,3
02-10,1,3,3
02-11,1,3,3
02-12,1,3,3
02-13,1,3,3
02-14,1,3,3
02-15,1,3,3
02-16,1,3,3
02-17,1,3,3
02-18,1,3,3
02-19,2,3,3
02-20,2,3,3
02-21,2,3,3
02-22,2,3,3
02-23,1,3,3
02-24,1,3,3
02-25,1,3,3
02-26,1,3,3
02-27,1,3,3
02-28,1,3,3
02-29,1,3,3
03-01,3,7,5
03-02,3,7,5
03-03,3,7,5
03-04,3,7,5
03-05,3,7,5
03-06,3,7,5
03-07,3,7,5
03-08,3,7,5
03-09,3,7,5
03-10,3,7,5
03-11,3,7,5
03-12,3,7,5
03-13,3,7,5
03-14,3,7,5
03-15,3,7,5
03-16,3,7,5
03-17,3,7,3
03-18,3,7,3
03-19,3,7,5
03-20,3,7,3
03-21,3,7,3
03-22,3,7,3
04-01,4,7,5
04-02,4,7,5
04-03,4,7,5
04-04,4,7,5
04-05,4,7,5
04-06,4,7,5
04-07,4,7,5
04-08,4,7,5
04-09,4,7,5
04-10,4,7,5
04-11,4,7,5
04-12,4,7,5
04-13,4,7,5
04-14,4,7,5
04-15,4,7,5
04-16,4,7,5
04-17,4,7,5
04-18,4,7,5
04-19,4,7,5
04-20,4,7,5
04-21,4,7,5
05-01,1,4,3
05-02,1,4,3
05-03,1,4,3
05-04,1,4,3
05-05,1,4,3
05-06,1,4,3
05-07,1,4,3
05-08,1,4,3
05-09,1,4,3
05-10,1,4,3
05-11,1,4,3
05-12,1,4,3
05-13,1,4,3
05-14,1,4,3
05-15,5,4,4
05-16,1,4,3
05-17,1,4,4
05-18,1,4,3
05-19,1,4,3
05-20,5,4,4
05-21,1,4,4
05-22,1,4,3
05-23,5,4,4
05-24,1,4,3
05-25,1,4,5
05-26,1,4,3
05-27,1,4,4
05-28,1,4,3
05-29,1,4,3
05-30,1,4,4
05-31,1,4,5
05-32,1,4,4
05-33,1,4,4
05-34,1,4,4
05-35,1,4,3
05-36,1,4,3
05-37,1,4,3
06-01,3,7,5
06-02,3,7,5
06-03,3,7,5
06-04,3,7,5
06-05,3,7,5
06-06,3,7,5
06-07,3,7,5
06-08,3,7,5
06-09,3,7,5
06-10,3,7,5
06-11,3,7,5
06-12,3,7,5
06-13,3,7,5
06-14,3,7,5
06-15,3,7,5
06-16,3,7,5
06-17,3,7,5
06-18,3,7,5
07-01,7,6,4
07-02,7,6,4
07-03,7,6,4
07-04,7,6,4
07-05,7,6,4
07-06,7,6,4
07-07,7,6,4
07-08,7,6,4
