Precinct,Congressional 2022,Senate 2022,Legislative 2022,Council 2022,Republican State Committee 2022
01-01,3,1,184,1,3
01-02,3,1,184,1,3
01-03,3,1,184,1,3
01-04,3,1,184,1,3
01-05,3,1,184,1,3
01-06,3,1,184,1,3
01-07,3,1,184,1,3
01-08,3,1,184,1,3
01-09,3,1,184,1,3
01-10,3,1,184,1,3
01-11,3,1,184,1,3
01-12,3,1,184,1,3
01-13,3,1,184,1,3
01-14,3,1,184,1,3
01-15,3,1,184,1,3
01-16,3,1,184,1,3
01-17,3,1,184,1,3
01-18,3,1,184,1,3
01-19,3,1,184,1,3
01-20,3,1,184,1,3
01-21,3,1,184,1,3
02-01,3,1,175,1,3
02-02,3,1,175,1,3
02-03,3,1,182,1,3
02-04,3,1,182,1,3
02-05,3,1,182,1,3
02-06,3,1,182,1,3
02-07,3,1,182,1,3
02-08,3,1,182,1,3
02-09,3,1,182,2,3
02-10,3,1,182,1,3
02-11,3,1,182,1,3
02-12,3,1,182,1,3
02-13,3,1,175,1,3
02-14,3,1,175,1,3
02-15,3,1,175,1,3
02-16,3,1,175,1,3
02-17,3,1,182,1,3
02-18,3,1,182,1,3
02-19,3,1,182,2,3
02-20,3,1,182,2,3
02-21,3,1,182,2,3
02-22,3,1,182,2,3
02-23,3,1,182,1,3
02-24,3,1,182,1,3
02-25,3,1,175,1,3
02-26,3,1,175,1,3
02-27,3,1,175,1,3
02-28,3,1,175,1,3
02-29,3,1,175,1,3
03-01,3,8,191,3,3
03-02,3,8,191,3,3
03-03,3,8,191,3,3
03-04,3,8,191,3,3
03-05,3,8,191,3,3
03-06,3,8,191,3,3
03-07,3,8,191,3,3
03-08,3,8,191,3,3
03-09,3,8,191,3,3
03-10,3,8,191,3,3
03-11,3,8,191,3,3
03-12,3,8,191,3,3
03-13,3,8,191,3,3
03-14,3,8,191,3,3
03-15,3,8,191,3,3
03-16,3,8,191,3,3
03-17,3,8,191,3,3
03-18,3,8,191,3,3
03-19,3,8,191,3,3
03-20,3,8,191,3,3
03-21,5,8,191,3,5
03-22,5,8,191,3,5
04-01,3,7,10,4,3
04-02,3,7,192,4,3
04-03,3,7,192,4,3
04-04,3,7,192,4,3
04-05,3,7,192,4,3
04-06,3,7,192,4,3
04-07,3,7,10,4,3
04-08,3,7,10,4,3
04-09,3,7,192,4,3
04-10,3,7,192,4,3
04-11,3,7,192,4,3
04-12,3,7,10,4,3
04-13,3,7,192,4,3
04-14,3,7,192,4,3
04-15,3,7,192,4,3
04-16,3,7,192,4,3
04-17,3,7,192,4,3
04-18,3,7,192,4,3
04-19,3,7,192,4,3
04-20,3,7,192,4,3
04-21,3,7,192,4,3
05-01,2,1,175,1,3
05-02,2,1,175,1,3
05-03,2,1,175,1,3
