district,candidate,party,votes
1,REBECCA RHYNHART,Democratic,12347
1,HELEN GYM,Democratic,11476
1,ALLAN DOMB,Democratic,3848
1,CHERELLE L PARKER,Democratic,3217
1,JEFF BROWN,Democratic,1196
1,AMEN  BROWN,Democratic,124
1,JAMES M DELEON,Democratic,85
1,DELSCIA GRAY,Democratic,33
1,WARREN BLOOM,Democratic,31
1,WRITE-IN,Democratic,23
1,DAVID OH,Republican,1765
1,WRITE-IN,Republican,103
2,REBECCA RHYNHART,Democratic,9020
2,HELEN GYM,Democratic,7735
2,CHERELLE L PARKER,Democratic,7724
2,ALLAN DOMB,Democratic,3679
2,JEFF BROWN,Democratic,1956
2,AMEN  BROWN,Democratic,264
2,JAMES M DELEON,Democratic,139
2,DELSCIA GRAY,Democratic,59
2,WARREN BLOOM,Democratic,51
2,WRITE-IN,Democratic,13
2,DAVID OH,Republican,1475
2,WRITE-IN,Republican,98
3,CHERELLE L PARKER,Democratic,9108
3,HELEN GYM,Democratic,8102
3,REBECCA RHYNHART,Democratic,2939
3,JEFF BROWN,Democratic,2422
3,ALLAN DOMB,Democratic,1261
3,AMEN  BROWN,Democratic,805
3,JAMES M DELEON,Democratic,130
3,DELSCIA GRAY,Democratic,54
3,WARREN BLOOM,Democratic,37
3,WRITE-IN,Democratic,14
3,DAVID OH,Republican,263
3,WRITE-IN,Republican,38
4,CHERELLE L PARKER,Democratic,12280
4,REBECCA RHYNHART,Democratic,6428
4,HELEN GYM,Democratic,5781
4,JEFF BROWN,Democratic,3618
4,ALLAN DOMB,Democratic,2652
4,AMEN  BROWN,Democratic,548
4,JAMES M DELEON,Democratic,149
4,WARREN BLOOM,Democratic,58
4,DELSCIA GRAY,Democratic,57
4,WRITE-IN,Democratic,25
4,DAVID OH,Republican,1169
4,WRITE-IN,Republican,60
5,REBECCA RHYNHART,Democratic,8189
5,CHERELLE L PARKER,Democratic,8168
5,HELEN GYM,Democratic,6315
5,ALLAN DOMB,Democratic,2704
5,JEFF BROWN,Democratic,1754
5,AMEN  BROWN,Democratic,356
5,JAMES M DELEON,Democratic,125
5,DELSCIA GRAY,Democratic,69
5,WARREN BLOOM,Democratic,53
5,WRITE-IN,Democratic,14
5,DAVID OH,Republican,631
5,WRITE-IN,Republican,73
6,ALLAN DOMB,Democratic,3667
6,REBECCA RHYNHART,Democratic,3054
6,CHERELLE L PARKER,Democratic,2791
6,HELEN GYM,Democratic,1663
6,JEFF BROWN,Democratic,1609
6,AMEN  BROWN,Democratic,118
6,JAMES M DELEON,Democratic,110
6,DELSCIA GRAY,Democratic,40
6,WARREN BLOOM,Democratic,36
6,WRITE-IN,Democratic,15
6,DAVID OH,Republican,3417
6,WRITE-IN,Republican,95
7,CHERELLE L PARKER,Democratic,4721
7,HELEN GYM,Democratic,2202
7,REBECCA RHYNHART,Democratic,1902
7,ALLAN DOMB,Democratic,1570
7,JEFF BROWN,Democratic,1050
7,AMEN  BROWN,Democratic,199
7,JAMES M DELEON,Democratic,197
7,DELSCIA GRAY,Democratic,76
7,WARREN BLOOM,Democratic,57
7,WRITE-IN,Democratic,18
7,DAVID OH,Republican,580
7,WRITE-IN,Republican,41
8,CHERELLE L PARKER,Democratic,13985
8,HELEN GYM,Democratic,6859
8,REBECCA RHYNHART,Democratic,6183
8,JEFF BROWN,Democratic,3261
8,ALLAN DOMB,Democratic,2009
8,AMEN  BROWN,Democratic,447
8,JAMES M DELEON,Democratic,243
8,DELSCIA GRAY,Democratic,90
8,WARREN BLOOM,Democratic,63
8,WRITE-IN,Democratic,19
8,DAVID OH,Republican,476
8,WRITE-IN,Republican,48
9,CHERELLE L PARKER,Democratic,16276
9,JEFF BROWN,Democratic,2697
9,HELEN GYM,Democratic,2461
9,REBECCA RHYNHART,Democratic,2271
9,ALLAN DOMB,Democratic,1894
9,AMEN  BROWN,Democratic,323
9,JAMES M DELEON,Democratic,208
9,WARREN BLOOM,Democratic,74
9,DELSCIA GRAY,Democratic,61
9,WRITE-IN,Democratic,14
9,DAVID OH,Republican,701
9,WRITE-IN,Republican,46
10,ALLAN DOMB,Democratic,4767
10,REBECCA RHYNHART,Democratic,4248
10,CHERELLE L PARKER,Democratic,2810
10,JEFF BROWN,Democratic,2305
10,HELEN GYM,Democratic,2111
10,AMEN  BROWN,Democratic,137
10,JAMES M DELEON,Democratic,102
10,DELSCIA GRAY,Democratic,43
10,WARREN BLOOM,Democratic,39
10,WRITE-IN,Democratic,8
10,DAVID OH,Republican,4878
10,WRITE-IN,Republican,128
