division,candidate,party,votes
01-01,ALLAN DOMB,DEM,21
01-01,AMEN  BROWN,DEM,0
01-01,CHERELLE L PARKER,DEM,10
01-01,DAVID OH,REP,11
01-01,DELSCIA GRAY,DEM,1
01-01,HELEN GYM,DEM,111
01-01,JAMES M DELEON,DEM,1
01-01,JEFF BROWN,DEM,5
01-01,REBECCA RHYNHART,DEM,57
01-01,WARREN BLOOM,DEM,0
01-01,WRITE-IN,DEM,0
01-01,WRITE-IN,REP,1
01-02,ALLAN DOMB,DEM,17
01-02,AMEN  BROWN,DEM,0
01-02,CHERELLE L PARKER,DEM,10
01-02,DAVID OH,REP,6
01-02,DELSCIA GRAY,DEM,0
01-02,HELEN GYM,DEM,127
01-02,JAMES M DELEON,DEM,0
01-02,JEFF BROWN,DEM,6
01-02,REBECCA RHYNHART,DEM,97
01-02,WARREN BLOOM,DEM,0
01-02,WRITE-IN,DEM,0
01-02,WRITE-IN,REP,0
01-03,ALLAN DOMB,DEM,41
01-03,AMEN  BROWN,DEM,1
01-03,CHERELLE L PARKER,DEM,11
01-03,DAVID OH,REP,15
01-03,DELSCIA GRAY,DEM,0
01-03,HELEN GYM,DEM,130
01-03,JAMES M DELEON,DEM,1
01-03,JEFF BROWN,DEM,12
01-03,REBECCA RHYNHART,DEM,96
01-03,WARREN BLOOM,DEM,0
01-03,WRITE-IN,DEM,1
01-03,WRITE-IN,REP,2
01-04,ALLAN DOMB,DEM,18
01-04,AMEN  BROWN,DEM,0
01-04,CHERELLE L PARKER,DEM,11
01-04,DAVID OH,REP,18
01-04,DELSCIA GRAY,DEM,0
01-04,HELEN GYM,DEM,113
01-04,JAMES M DELEON,DEM,0
01-04,JEFF BROWN,DEM,6
01-04,REBECCA RHYNHART,DEM,95
01-04,WARREN BLOOM,DEM,0
01-04,WRITE-IN,DEM,0
01-04,WRITE-IN,REP,0
01-05,ALLAN DOMB,DEM,8
01-05,AMEN  BROWN,DEM,3
01-05,CHERELLE L PARKER,DEM,5
01-05,DAVID OH,REP,1
01-05,DELSCIA GRAY,DEM,0
01-05,HELEN GYM,DEM,72
01-05,JAMES M DELEON,DEM,0
01-05,JEFF BROWN,DEM,3
01-05,REBECCA RHYNHART,DEM,30
01-05,WARREN BLOOM,DEM,0
01-05,WRITE-IN,DEM,0
01-05,WRITE-IN,REP,0
01-06,ALLAN DOMB,DEM,13
01-06,AMEN  BROWN,DEM,0
01-06,CHERELLE L PARKER,DEM,9
01-06,DAVID OH,REP,3
01-06,DELSCIA GRAY,DEM,0
01-06,HELEN GYM,DEM,92
01-06,JAMES M DELEON,DEM,0
01-06,JEFF BROWN,DEM,9
01-06,REBECCA RHYNHART,DEM,48
01-06,WARREN BLOOM,DEM,0
01-06,WRITE-IN,DEM,0
01-06,WRITE-IN,REP,0
01-07,ALLAN DOMB,DEM,8
01-07,AMEN  BROWN,DEM,0
01-07,CHERELLE L PARKER,DEM,16
01-07,DAVID OH,REP,4
01-07,DELSCIA GRAY,DEM,0
01-07,HELEN GYM,DEM,78
01-07,JAMES M DELEON,DEM,1
01-07,JEFF BROWN,DEM,8
01-07,REBECCA RHYNHART,DEM,26
01-07,WARREN BLOOM,DEM,0
01-07,WRITE-IN,DEM,0
01-07,WRITE-IN,REP,0
01-08,ALLAN DOMB,DEM,13
01-08,AMEN  BROWN,DEM,2
01-08,CHERELLE L PARKER,DEM,5
01-08,DAVID OH,REP,3
01-08,DELSCIA GRAY,DEM,0
01-08,HELEN GYM,DEM,105
01-08,JAMES M DELEON,DEM,1
01-08,JEFF BROWN,DEM,11
01-08,REBECCA RHYNHART,DEM,53
01-08,WARREN BLOOM,DEM,0
01-08,WRITE-IN,DEM,0
01-08,WRITE-IN,REP,1
01-09,ALLAN DOMB,DEM,13
01-09,AMEN  BROWN,DEM,2
01-09,CHERELLE L PARKER,DEM,10
01-09,DAVID OH,REP,10
01-09,DELSCIA GRAY,DEM,1
01-09,HELEN GYM,DEM,96
01-09,JAMES M DELEON,DEM,0
01-09,JEFF BROWN,DEM,4
01-09,REBECCA RHYNHART,DEM,56
01-09,WARREN BLOOM,DEM,0
01-09,WRITE-IN,DEM,0
01-09,WRITE-IN,REP,1
01-10,ALLAN DOMB,DEM,14
01-10,AMEN  BROWN,DEM,2
01-10,CHERELLE L PARKER,DEM,13
01-10,DAVID OH,REP,8
01-10,DELSCIA GRAY,DEM,1
01-10,HELEN GYM,DEM,102
01-10,JAMES M DELEON,DEM,0
01-10,JEFF BROWN,DEM,2
01-10,REBECCA RHYNHART,DEM,78
01-10,WARREN BLOOM,DEM,0
01-10,WRITE-IN,DEM,0
01-10,WRITE-IN,REP,1
01-11,ALLAN DOMB,DEM,26
01-11,AMEN  BROWN,DEM,0
01-11,CHERELLE L PARKER,DEM,18
01-11,DAVID OH,REP,15
01-11,DELSCIA GRAY,DEM,0
01-11,HELEN GYM,DEM,158
01-11,JAMES M DELEON,DEM,1
01-11,JEFF BROWN,DEM,4
01-11,REBECCA RHYNHART,DEM,120
01-11,WARREN BLOOM,DEM,0
01-11,WRITE-IN,DEM,0
01-11,WRITE-IN,REP,0
01-12,ALLAN DOMB,DEM,15
01-12,AMEN  BROWN,DEM,1
01-12,CHERELLE L PARKER,DEM,18
01-12,DAVID OH,REP,2
01-12,DELSCIA GRAY,DEM,0
01-12,HELEN GYM,DEM,73
01-12,JAMES M DELEON,DEM,0
01-12,JEFF BROWN,DEM,3
01-12,REBECCA RHYNHART,DEM,38
01-12,WARREN BLOOM,DEM,0
01-12,WRITE-IN,DEM,0
01-12,WRITE-IN,REP,0
01-13,ALLAN DOMB,DEM,20
01-13,AMEN  BROWN,DEM,0
01-13,CHERELLE L PARKER,DEM,30
01-13,DAVID OH,REP,6
01-13,DELSCIA GRAY,DEM,0
01-13,HELEN GYM,DEM,112
01-13,JAMES M DELEON,DEM,0
01-13,JEFF BROWN,DEM,9
01-13,REBECCA RHYNHART,DEM,95
01-13,WARREN BLOOM,DEM,0
01-13,WRITE-IN,DEM,0
01-13,WRITE-IN,REP,1
01-14,ALLAN DOMB,DEM,7
01-14,AMEN  BROWN,DEM,2
01-14,CHERELLE L PARKER,DEM,21
01-14,DAVID OH,REP,5
01-14,DELSCIA GRAY,DEM,0
01-14,HELEN GYM,DEM,137
01-14,JAMES M DELEON,DEM,1
01-14,JEFF BROWN,DEM,8
01-14,REBECCA RHYNHART,DEM,62
01-14,WARREN BLOOM,DEM,0
01-14,WRITE-IN,DEM,0
01-14,WRITE-IN,REP,0
01-15,ALLAN DOMB,DEM,22
01-15,AMEN  BROWN,DEM,2
01-15,CHERELLE L PARKER,DEM,33
01-15,DAVID OH,REP,15
01-15,DELSCIA GRAY,DEM,1
01-15,HELEN GYM,DEM,145
01-15,JAMES M DELEON,DEM,2
01-15,JEFF BROWN,DEM,10
01-15,REBECCA RHYNHART,DEM,107
01-15,WARREN BLOOM,DEM,0
01-15,WRITE-IN,DEM,0
01-15,WRITE-IN,REP,0
01-16,ALLAN DOMB,DEM,12
01-16,AMEN  BROWN,DEM,1
01-16,CHERELLE L PARKER,DEM,11
01-16,DAVID OH,REP,1
01-16,DELSCIA GRAY,DEM,0
01-16,HELEN GYM,DEM,88
01-16,JAMES M DELEON,DEM,2
01-16,JEFF BROWN,DEM,7
01-16,REBECCA RHYNHART,DEM,68
01-16,WARREN BLOOM,DEM,0
01-16,WRITE-IN,DEM,0
01-16,WRITE-IN,REP,1
01-17,ALLAN DOMB,DEM,41
01-17,AMEN  BROWN,DEM,1
01-17,CHERELLE L PARKER,DEM,30
01-17,DAVID OH,REP,11
01-17,DELSCIA GRAY,DEM,0
01-17,HELEN GYM,DEM,68
01-17,JAMES M DELEON,DEM,1
01-17,JEFF BROWN,DEM,13
01-17,REBECCA RHYNHART,DEM,81
01-17,WARREN BLOOM,DEM,0
01-17,WRITE-IN,DEM,0
01-17,WRITE-IN,REP,1
01-18,ALLAN DOMB,DEM,38
01-18,AMEN  BROWN,DEM,2
01-18,CHERELLE L PARKER,DEM,29
01-18,DAVID OH,REP,23
01-18,DELSCIA GRAY,DEM,0
01-18,HELEN GYM,DEM,48
01-18,JAMES M DELEON,DEM,0
01-18,JEFF BROWN,DEM,8
01-18,REBECCA RHYNHART,DEM,78
01-18,WARREN BLOOM,DEM,0
01-18,WRITE-IN,DEM,0
01-18,WRITE-IN,REP,2
01-19,ALLAN DOMB,DEM,38
01-19,AMEN  BROWN,DEM,0
01-19,CHERELLE L PARKER,DEM,29
01-19,DAVID OH,REP,19
01-19,DELSCIA GRAY,DEM,0
01-19,HELEN GYM,DEM,66
01-19,JAMES M DELEON,DEM,0
01-19,JEFF BROWN,DEM,6
01-19,REBECCA RHYNHART,DEM,82
01-19,WARREN BLOOM,DEM,0
01-19,WRITE-IN,DEM,0
01-19,WRITE-IN,REP,0
01-20,ALLAN DOMB,DEM,30
01-20,AMEN  BROWN,DEM,1
01-20,CHERELLE L PARKER,DEM,36
01-20,DAVID OH,REP,13
01-20,DELSCIA GRAY,DEM,0
01-20,HELEN GYM,DEM,123
01-20,JAMES M DELEON,DEM,0
01-20,JEFF BROWN,DEM,15
01-20,REBECCA RHYNHART,DEM,100
01-20,WARREN BLOOM,DEM,0
01-20,WRITE-IN,DEM,0
01-20,WRITE-IN,REP,0
01-21,ALLAN DOMB,DEM,49
01-21,AMEN  BROWN,DEM,0
01-21,CHERELLE L PARKER,DEM,31
01-21,DAVID OH,REP,15
01-21,DELSCIA GRAY,DEM,0
01-21,HELEN GYM,DEM,70
01-21,JAMES M DELEON,DEM,0
01-21,JEFF BROWN,DEM,19
01-21,REBECCA RHYNHART,DEM,80
01-21,WARREN BLOOM,DEM,0
01-21,WRITE-IN,DEM,0
01-21,WRITE-IN,REP,1
02-01,ALLAN DOMB,DEM,45
02-01,AMEN  BROWN,DEM,2
02-01,CHERELLE L PARKER,DEM,29
02-01,DAVID OH,REP,29
02-01,DELSCIA GRAY,DEM,1
02-01,HELEN GYM,DEM,96
02-01,JAMES M DELEON,DEM,1
02-01,JEFF BROWN,DEM,9
02-01,REBECCA RHYNHART,DEM,206
02-01,WARREN BLOOM,DEM,1
02-01,WRITE-IN,DEM,2
02-01,WRITE-IN,REP,3
02-02,ALLAN DOMB,DEM,16
02-02,AMEN  BROWN,DEM,3
02-02,CHERELLE L PARKER,DEM,22
02-02,DAVID OH,REP,12
02-02,DELSCIA GRAY,DEM,0
02-02,HELEN GYM,DEM,56
02-02,JAMES M DELEON,DEM,1
02-02,JEFF BROWN,DEM,6
02-02,REBECCA RHYNHART,DEM,79
02-02,WARREN BLOOM,DEM,0
02-02,WRITE-IN,DEM,0
02-02,WRITE-IN,REP,0
02-03,ALLAN DOMB,DEM,18
02-03,AMEN  BROWN,DEM,0
