election,district,dem,rep,other
2024 General President,1,62852,18623,1390
2024 General President,2,65842,15002,1157
2024 General President,3,64772,4545,1450
2024 General President,4,69261,10663,1155
2024 General President,5,69947,7717,1132
2024 General President,6,30742,25323,763
2024 General President,7,41720,11791,717
2024 General President,8,69750,4621,1004
2024 General President,9,59167,8664,869
2024 General President,10,32341,37095,1060
2023 General Mayor,1,27337,10632,585
2023 General Mayor,2,28175,8165,401
2023 General Mayor,3,25164,2652,593
2023 General Mayor,4,30695,7023,234
2023 General Mayor,5,27102,4802,323
2023 General Mayor,6,10053,12279,62
2023 General Mayor,7,11732,3609,81
2023 General Mayor,8,32710,3866,370
2023 General Mayor,9,26665,4374,89
2023 General Mayor,10,12442,18275,111
