GEOID20,Name,District
42101000101,PHILADELPHIA WARD 01 PRECINCT 01,3
42101000102,PHILADELPHIA WARD 01 PRECINCT 02,3
42101000103,PHILADELPHIA WARD 01 PRECINCT 03,3
42101000104,PHILADELPHIA WARD 01 PRECINCT 04,3
42101000105,PHILADELPHIA WARD 01 PRECINCT 05,3
42101000106,PHILADELPHIA WARD 01 PRECINCT 06,3
42101000107,PHILADELPHIA WARD 01 PRECINCT 07,3
42101000108,PHILADELPHIA WARD 01 PRECINCT 08,3
42101000109,PHILADELPHIA WARD 01 PRECINCT 09,3
42101000110,PHILADELPHIA WARD 01 PRECINCT 10,3
42101000111,PHILADELPHIA WARD 01 PRECINCT 11,3
42101000112,PHILADELPHIA WARD 01 PRECINCT 12,3
42101000113,PHILADELPHIA WARD 01 PRECINCT 13,3
42101000114,PHILADELPHIA WARD 01 PRECINCT 14,3
42101000115,PHILADELPHIA WARD 01 PRECINCT 15,3
42101000116,PHILADELPHIA WARD 01 PRECINCT 16,3
42101000117,PHILADELPHIA WARD 01 PRECINCT 17,3
42101000118,PHILADELPHIA WARD 01 PRECINCT 18,3
42101000119,PHILADELPHIA WARD 01 PRECINCT 19,3
42101000120,PHILADELPHIA WARD 01 PRECINCT 20,3
42101000121,PHILADELPHIA WARD 01 PRECINCT 21,3
42101000201,PHILADELPHIA WARD 02 PRECINCT 01,3
42101000202,PHILADELPHIA WARD 02 PRECINCT 02,3
42101000203,PHILADELPHIA WARD 02 PRECINCT 03,3
42101000204,PHILADELPHIA WARD 02 PRECINCT 04,3
42101000205,PHILADELPHIA WARD 02 PRECINCT 05,3
42101000206,PHILADELPHIA WARD 02 PRECINCT 06,3
42101000207,PHILADELPHIA WARD 02 PRECINCT 07,3
42101000208,PHILADELPHIA WARD 02 PRECINCT 08,3
42101000209,PHILADELPHIA WARD 02 PRECINCT 09,3
42101000210,PHILADELPHIA WARD 02 PRECINCT 10,3
42101000211,PHILADELPHIA WARD 02 PRECINCT 11,3
42101000212,PHILADELPHIA WARD 02 PRECINCT 12,3
42101000213,PHILADELPHIA WARD 02 PRECINCT 13,3
42101000214,PHILADELPHIA WARD 02 PRECINCT 14,3
42101000217,PHILADELPHIA WARD 02 PRECINCT 17,3
42101000218,PHILADELPHIA WARD 02 PRECINCT 18,3
42101000219,PHILADELPHIA WARD 02 PRECINCT 19,3
42101000220,PHILADELPHIA WARD 02 PRECINCT 20,3
42101000221,PHILADELPHIA WARD 02 PRECINCT 21,3
42101000222,PHILADELPHIA WARD 02 PRECINCT 22,3
42101000223,PHILADELPHIA WARD 02 PRECINCT 23,3
42101000224,PHILADELPHIA WARD 02 PRECINCT 24,3
42101000228,PHILADELPHIA WARD 02 PRECINCT 15,3
42101000229,PHILADELPHIA WARD 02 PRECINCT 16,3
42101000230,PHILADELPHIA WARD 02 PRECINCT 25,3
42101000231,PHILADELPHIA WARD 02 PRECINCT 26,3
42101000232,PHILADELPHIA WARD 02 PRECINCT 27,3
42101000233,PHILADELPHIA WARD 02 PRECINCT 28,3
42101000234,PHILADELPHIA WARD 02 PRECINCT 29,3
42101000301,PHILADELPHIA WARD 03 PRECINCT 01,5
42101000302,PHILADELPHIA WARD 03 PRECINCT 02,5
42101000303,PHILADELPHIA WARD 03 PRECINCT 03,5
42101000304,PHILADELPHIA WARD 03 PRECINCT 04,5
42101000305,PHILADELPHIA WARD 03 PRECINCT 05,5
42101000306,PHILADELPHIA WARD 03 PRECINCT 06,5
42101000307,PHILADELPHIA WARD 03 PRECINCT 07,5
42101000308,PHILADELPHIA WARD 03 PRECINCT 08,5
42101000309,PHILADELPHIA WARD 03 PRECINCT 09,5
42101000310,PHILADELPHIA WARD 03 PRECINCT 10,5
42101000311,PHILADELPHIA WARD 03 PRECINCT 11,5
42101000312,PHILADELPHIA WARD 03 PRECINCT 12,5
42101000313,PHILADELPHIA WARD 03 PRECINCT 13,5
42101000314,PHILADELPHIA WARD 03 PRECINCT 14,5
42101000315,PHILADELPHIA WARD 03 PRECINCT 15,5
42101000316,PHILADELPHIA WARD 03 PRECINCT 16,5
42101000317,PHILADELPHIA WARD 03 PRECINCT 17,3
42101000318,PHILADELPHIA WARD 03 PRECINCT 18,3
42101000319,PHILADELPHIA WARD 03 PRECINCT 19,5
42101000320,PHILADELPHIA WARD 03 PRECINCT 20,3
42101000321,PHILADELPHIA WARD 03 PRECINCT 21,3
42101000322,PHILADELPHIA WARD 03 PRECINCT 22,3
42101000401,PHILADELPHIA WARD 04 PRECINCT 01,5
42101000402,PHILADELPHIA WARD 04 PRECINCT 02,5
42101000403,PHILADELPHIA WARD 04 PRECINCT 03,5
42101000404,PHILADELPHIA WARD 04 PRECINCT 04,5
