district,total,nh_white,nh_black,hispanic,nh_asian,other,%nh_white,%nh_black,%hispanic,%nh_asian,%other
1,163183,100164,11512,21517,23195,6795,61.4,7.1,13.2,14.2,4.2
2,156728,63761,60750,9393,16486,6338,40.7,38.8,6.0,10.5,4.0
3,152603,31692,92030,7479,14297,7105,20.8,60.3,4.9,9.4,4.7
4,152871,49741,85430,6551,4805,6344,32.5,55.9,4.3,3.1,4.1
5,163530,59246,69232,17653,10494,6905,36.2,42.3,10.8,6.4,4.2
6,166431,79190,29141,34240,15493,8367,47.6,17.5,20.6,9.3,5.0
7,163993,21448,41945,87922,7438,5240,13.1,25.6,53.6,4.5,3.2
8,155444,23634,108581,12669,3798,6762,15.2,69.9,8.2,2.4,4.4
9,163206,14972,100776,26526,14492,6440,9.2,61.7,16.3,8.9,3.9
10,165808,106980,14438,14327,21910,8153,64.5,8.7,8.6,13.2,4.9
CITY,1603797,550828,613835,238277,132408,68449,34.3,38.3,14.9,8.3,4.3
