district,total,nh_white,nh_black,hispanic,nh_asian,other,%nh_white,%nh_black,%hispanic,%nh_asian,%other
1,137707,89414,9546,15013,18956,4778,64.9,6.9,10.9,13.8,3.5
2,128087,57003,46079,6896,13653,4456,44.5,36.0,5.4,10.7,3.5
3,125040,29550,70843,5999,13173,5475,23.6,56.7,4.8,10.5,4.4
4,125709,44599,67309,4839,4328,4634,35.5,53.5,3.8,3.4,3.7
5,137007,55415,52956,13457,9790,5389,40.4,38.7,9.8,7.1,3.9
6,127033,66327,21331,22447,11721,5207,52.2,16.8,17.7,9.2,4.1
7,119372,18454,29817,61868,5858,3375,15.5,25.0,51.8,4.9,2.8
8,121501,20399,84320,8805,3248,4729,16.8,69.4,7.2,2.7,3.9
9,125029,12898,78070,18073,11531,4457,10.3,62.4,14.5,9.2,3.6
10,131877,88858,10935,10141,16518,5425,67.4,8.3,7.7,12.5,4.1
CITY,1278362,482917,471206,167538,108776,47925,37.8,36.9,13.1,8.5,3.7
